Line,Station Name,Daytime Routes,Borough Name,Complex Id,Division,Gtfs Stop Id,North Direction Label,South Direction Label,Station Geom,Station Id,Structure,Station Lat,Station Lon
Jamaica,Kosciuszko St,J,Brooklyn,96,BMT,J31,Jamaica,Manhattan,POINT(-73.928814 40.693342),96,Elevated,40.693342,-73.928814
Jamaica,Myrtle Av,J M Z,Brooklyn,97,BMT,M11,Jamaica - Middle Village,Manhattan,POINT(-73.935657 40.697207),97,Elevated,40.697207,-73.935657
Jamaica,Flushing Av,J M,Brooklyn,98,BMT,M12,Jamaica - Middle Village,Manhattan,POINT(-73.941126 40.70026),98,Elevated,40.70026,-73.941126
Jamaica,Lorimer St,J M,Brooklyn,99,BMT,M13,Jamaica - Middle Village,Manhattan,POINT(-73.947408 40.703869),99,Elevated,40.703869,-73.947408
Jamaica,Hewes St,J M,Brooklyn,100,BMT,M14,Jamaica - Middle Village,Manhattan,POINT(-73.953431 40.70687),100,Elevated,40.70687,-73.953431
Jamaica,Marcy Av,J M Z,Brooklyn,101,BMT,M16,Jamaica - Middle Village,Manhattan,POINT(-73.957757 40.708359),101,Elevated,40.708359,-73.957757
Jamaica,Essex St,J M Z,Manhattan,625,BMT,M18,Brooklyn,Broad St (JZ) - Uptown (M),POINT(-73.987437 40.718315),102,Subway,40.718315,-73.987437
Jamaica,Bowery,J Z,Manhattan,103,BMT,M19,Brooklyn,Broad St,POINT(-73.993915 40.72028),103,Subway,40.72028,-73.993915
Jamaica,Canal St,J Z,Manhattan,623,BMT,M20,Brooklyn,Broad St,POINT(-73.999892 40.718092),104,Subway,40.718092,-73.999892
Jamaica,Chambers St,J Z,Manhattan,622,BMT,M21,Brooklyn,Broad St,POINT(-74.003401 40.713243),105,Subway,40.713243,-74.003401
Jamaica,Fulton St,J Z,Manhattan,628,BMT,M22,Brooklyn,Broad St,POINT(-74.007582 40.710374),106,Subway,40.710374,-74.007582
Jamaica,Broad St,J Z,Manhattan,107,BMT,M23,Brooklyn,,POINT(-74.011056 40.706476),107,Subway,40.706476,-74.011056
Myrtle Av,Middle Village - Metropolitan Av,M,Queens,108,BMT,M01,Manhattan,,POINT(-73.889601 40.711396),108,Elevated,40.711396,-73.889601
Myrtle Av,Fresh Pond Rd,M,Queens,109,BMT,M04,Manhattan,Metropolitan Av,POINT(-73.895877 40.706186),109,Elevated,40.706186,-73.895877
Myrtle Av,Forest Av,M,Queens,110,BMT,M05,Manhattan,Metropolitan Av,POINT(-73.903077 40.704423),110,Elevated,40.704423,-73.903077
Myrtle Av,Seneca Av,M,Queens,111,BMT,M06,Manhattan,Metropolitan Av,POINT(-73.90774 40.702762),111,Elevated,40.702762,-73.90774
Myrtle Av,Myrtle - Wyckoff Avs,M,Brooklyn,630,BMT,M08,Manhattan,Metropolitan Av,POINT(-73.912385 40.69943),112,Elevated,40.69943,-73.912385
Myrtle Av,Knickerbocker Av,M,Brooklyn,113,BMT,M09,Manhattan,Metropolitan Av,POINT(-73.919711 40.698664),113,Elevated,40.698664,-73.919711
Myrtle Av,Central Av,M,Brooklyn,114,BMT,M10,Manhattan,Metropolitan Av,POINT(-73.927397 40.697857),114,Elevated,40.697857,-73.927397
Canarsie,8 Av,L,Manhattan,618,BMT,L01,,Brooklyn,POINT(-74.002578 40.739777),115,Subway,40.739777,-74.002578
Canarsie,6 Av,L,Manhattan,601,BMT,L02,8 Av,Brooklyn,POINT(-73.996786 40.737335),116,Subway,40.737335,-73.996786
Canarsie,Union Sq - 14 St,L,Manhattan,602,BMT,L03,8 Av,Brooklyn,POINT(-73.99073 40.734789),117,Subway,40.734789,-73.99073
Canarsie,3 Av,L,Manhattan,118,BMT,L05,8 Av,Brooklyn,POINT(-73.986122 40.732849),118,Subway,40.732849,-73.986122
Canarsie,1 Av,L,Manhattan,119,BMT,L06,8 Av,Brooklyn,POINT(-73.981628 40.730953),119,Subway,40.730953,-73.981628
Canarsie,Bedford Av,L,Brooklyn,120,BMT,L08,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.956872 40.717304),120,Subway,40.717304,-73.956872
Canarsie,Lorimer St,L,Brooklyn,629,BMT,L10,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.950275 40.714063),121,Subway,40.714063,-73.950275
Canarsie,Graham Av,L,Brooklyn,122,BMT,L11,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.944053 40.714565),122,Subway,40.714565,-73.944053
Canarsie,Grand St,L,Brooklyn,123,BMT,L12,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.94067 40.711926),123,Subway,40.711926,-73.94067
Canarsie,Montrose Av,L,Brooklyn,124,BMT,L13,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.93985 40.707739),124,Subway,40.707739,-73.93985
Canarsie,Morgan Av,L,Brooklyn,125,BMT,L14,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.933147 40.706152),125,Subway,40.706152,-73.933147
Canarsie,Jefferson St,L,Brooklyn,126,BMT,L15,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.922913 40.706607),126,Subway,40.706607,-73.922913
Canarsie,DeKalb Av,L,Brooklyn,127,BMT,L16,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.918425 40.703811),127,Subway,40.703811,-73.918425
Canarsie,Myrtle - Wyckoff Avs,L,Brooklyn,630,BMT,L17,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.911586 40.699814),128,Subway,40.699814,-73.911586
Canarsie,Halsey St,L,Queens,129,BMT,L19,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.904084 40.695602),129,Subway,40.695602,-73.904084
Canarsie,Wilson Av,L,Brooklyn,130,BMT,L20,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.904046 40.688764),130,Subway,40.688764,-73.904046
Canarsie,Bushwick Av - Aberdeen St,L,Brooklyn,131,BMT,L21,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.905249 40.682829),131,Subway,40.682829,-73.905249
Canarsie,Broadway Jct,L,Brooklyn,621,BMT,L22,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.90324 40.678856),132,Elevated,40.678856,-73.90324
Canarsie,Atlantic Av,L,Brooklyn,133,BMT,L24,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.903097 40.675345),133,Elevated,40.675345,-73.903097
Canarsie,Sutter Av,L,Brooklyn,134,BMT,L25,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.901975 40.669367),134,Elevated,40.669367,-73.901975
Canarsie,Livonia Av,L,Brooklyn,135,BMT,L26,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.900571 40.664038),135,Elevated,40.664038,-73.900571
Canarsie,New Lots Av,L,Brooklyn,136,BMT,L27,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.899232 40.658733),136,Elevated,40.658733,-73.899232
Canarsie,E 105 St,L,Brooklyn,137,BMT,L28,Manhattan,Canarsie - Rockaway Parkway,POINT(-73.899485 40.650573),137,At Grade,40.650573,-73.899485
Canarsie,Canarsie - Rockaway Pkwy,L,Brooklyn,138,BMT,L29,Manhattan,,POINT(-73.90185 40.646654),138,At Grade,40.646654,-73.90185
Franklin Shuttle,Franklin Av,S,Brooklyn,627,BMT,S01,,Prospect Park,POINT(-73.955827 40.680596),139,Elevated,40.680596,-73.955827
Franklin Shuttle,Park Pl,S,Brooklyn,141,BMT,S03,Franklin Av,Prospect Park,POINT(-73.957624 40.674772),141,Open Cut,40.674772,-73.957624
Franklin Shuttle,Botanic Garden,S,Brooklyn,626,BMT,S04,Franklin Av,Prospect Park,POINT(-73.959245 40.670343),142,Open Cut,40.670343,-73.959245
8th Av - Fulton St,Inwood - 207 St,A,Manhattan,143,IND,A02,,Downtown & Brooklyn,POINT(-73.919899 40.868072),143,Subway,40.868072,-73.919899
8th Av - Fulton St,Dyckman St,A,Manhattan,144,IND,A03,207 St,Downtown & Brooklyn,POINT(-73.927271 40.865491),144,Subway,40.865491,-73.927271
8th Av - Fulton St,190 St,A,Manhattan,145,IND,A05,207 St,Downtown & Brooklyn,POINT(-73.93418 40.859022),145,Subway,40.859022,-73.93418
8th Av - Fulton St,181 St,A,Manhattan,146,IND,A06,207 St,Downtown & Brooklyn,POINT(-73.937969 40.851695),146,Subway,40.851695,-73.937969
8th Av - Fulton St,175 St,A,Manhattan,147,IND,A07,207 St,Downtown & Brooklyn,POINT(-73.939704 40.847391),147,Subway,40.847391,-73.939704
8th Av - Fulton St,168 St,A C,Manhattan,605,IND,A09,207 St,Downtown & Brooklyn,POINT(-73.939561 40.840719),148,Subway,40.840719,-73.939561
8th Av - Fulton St,163 St - Amsterdam Av,C,Manhattan,149,IND,A10,Uptown,Downtown & Brooklyn,POINT(-73.939892 40.836013),149,Subway,40.836013,-73.939892
8th Av - Fulton St,155 St,C,Manhattan,150,IND,A11,Uptown,Downtown & Brooklyn,POINT(-73.941514 40.830518),150,Subway,40.830518,-73.941514
8th Av - Fulton St,145 St,A C,Manhattan,151,IND,A12,Uptown & The Bronx,Downtown & Brooklyn,POINT(-73.944216 40.824783),151,Subway,40.824783,-73.944216
Concourse,145 St,B D,Manhattan,151,IND,D13,Uptown & The Bronx,Downtown & Brooklyn,POINT(-73.944216 40.824783),151,Subway,40.824783,-73.944216
8th Av - Fulton St,135 St,B C,Manhattan,152,IND,A14,Uptown & The Bronx,Downtown & Brooklyn,POINT(-73.947649 40.817894),152,Subway,40.817894,-73.947649
8th Av - Fulton St,125 St,A B C D,Manhattan,153,IND,A15,Uptown & The Bronx,Downtown & Brooklyn,POINT(-73.952343 40.811109),153,Subway,40.811109,-73.952343
8th Av - Fulton St,116 St,B C,Manhattan,154,IND,A16,Uptown & The Bronx,Downtown & Brooklyn,POINT(-73.954882 40.805085),154,Subway,40.805085,-73.954882
8th Av - Fulton St,Cathedral Pkwy (110 St),B C,Manhattan,155,IND,A17,Uptown & The Bronx,Downtown & Brooklyn,POINT(-73.958161 40.800603),155,Subway,40.800603,-73.958161
8th Av - Fulton St,103 St,B C,Manhattan,156,IND,A18,Uptown & The Bronx,Downtown & Brooklyn,POINT(-73.961454 40.796092),156,Subway,40.796092,-73.961454
8th Av - Fulton St,96 St,B C,Manhattan,157,IND,A19,Uptown & The Bronx,Downtown & Brooklyn,POINT(-73.964696 40.791642),157,Subway,40.791642,-73.964696
8th Av - Fulton St,86 St,B C,Manhattan,158,IND,A20,Uptown & The Bronx,Downtown & Brooklyn,POINT(-73.968916 40.785868),158,Subway,40.785868,-73.968916
8th Av - Fulton St,81 St - Museum of Natural History,B C,Manhattan,159,IND,A21,Uptown & The Bronx,Downtown & Brooklyn,POINT(-73.972143 40.781433),159,Subway,40.781433,-73.972143
8th Av - Fulton St,72 St,B C,Manhattan,160,IND,A22,Uptown & The Bronx,Downtown & Brooklyn,POINT(-73.97641 40.775594),160,Subway,40.775594,-73.97641
8th Av - Fulton St,59 St - Columbus Circle,A B C D,Manhattan,614,IND,A24,Uptown & The Bronx,Downtown & Brooklyn,POINT(-73.981736 40.768296),161,Subway,40.768296,-73.981736
8th Av - Fulton St,50 St,C E,Manhattan,162,IND,A25,Uptown - Queens,Downtown & Brooklyn,POINT(-73.985984 40.762456),162,Subway,40.762456,-73.985984
8th Av - Fulton St,42 St - Port Authority Bus Terminal,A C E,Manhattan,611,IND,A27,Uptown - Queens,Downtown & Brooklyn,POINT(-73.989735 40.757308),163,Subway,40.757308,-73.989735
8th Av - Fulton St,34 St - Penn Station,A C E,Manhattan,164,IND,A28,Uptown - Queens,Downtown & Brooklyn,POINT(-73.993391 40.752287),164,Subway,40.752287,-73.993391
8th Av - Fulton St,23 St,C E,Manhattan,165,IND,A30,Uptown - Queens,Downtown & Brooklyn,POINT(-73.998041 40.745906),165,Subway,40.745906,-73.998041
8th Av - Fulton St,14 St,A C E,Manhattan,618,IND,A31,Uptown - Queens,Downtown & Brooklyn,POINT(-74.00169 40.740893),166,Subway,40.740893,-74.00169
